study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Kim2023	all	40.0	NA	species	40.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023	all	40.0	NA	healthy	40.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023	all	40.0	NA	ethnicity	40.0	NA	korean	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023	all	40.0	NA	sex	40.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Kim2023	all	40.0	NA	age	40.0	NA	NA	NA	NA	NA	NA	19.0	55.0	yr	NA
Kim2023	all	40.0	NA	bmi	40.0	NA	NA	NA	NA	NA	NA	18.5	25.0	kg/m^2	NA
Kim2023	all	40.0	NA	weight	40.0	NA	NA	NA	NA	NA	NA	55.0	NA	kg	NA
Kim2023	all	40.0	NA	overnight fast	40.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	at least 10 hr fasting
Kim2023	Group1	19.0	all	age	19.0	NA	NA	36.8	NA	7.7	NA	NA	NA	yr	Arm 1
Kim2023	Group1	19.0	all	weight	19.0	NA	NA	69.5	NA	7.5	NA	NA	NA	kg	NA
Kim2023	Group1	19.0	all	height	19.0	NA	NA	175.6	NA	6.7	NA	NA	NA	cm	NA
Kim2023	Group1	19.0	all	bmi	19.0	NA	NA	22.4	NA	0.4	NA	NA	NA	kg/m^2	NA
Kim2023	Group2	19.0	all	age	19.0	NA	NA	30.5	NA	7.4	NA	NA	NA	yr	Arm 2
Kim2023	Group2	19.0	all	weight	19.0	NA	NA	69.1	NA	6.9	NA	NA	NA	kg	NA
Kim2023	Group2	19.0	all	height	19.0	NA	NA	73.2	NA	6.2	NA	NA	NA	cm	NA
Kim2023	Group2	19.0	all	bmi	19.0	NA	NA	23.0	NA	1.3	NA	NA	NA	kg/m^2	NA
