study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Macha2015a	all	16.0	EMP5_M	auc_end	empagliflozin	plasma	HPLC MS/MS	12.0	hr	1010.0	NA	NA	NA	152.51	NA	15.1	nmol/l*hr	steady state
Macha2015a	all	16.0	EMP5_M	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	193.0	NA	NA	NA	31.845	NA	16.5	nmol/l	NA
Macha2015a	all	16.0	EMP5_M	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	NA	0.7	2.0	NA	NA	NA	hr	NA
Macha2015a	all	16.0	EMP5_M	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	NA	NA	NA	NA	NA	NA	hr	NA
Macha2015a	all	16.0	EMP5_E	auc_end	empagliflozin	plasma	HPLC MS/MS	12.0	hr	867.0	NA	NA	NA	161.262	NA	18.6	nmol/l*hr	steady state
Macha2015a	all	16.0	EMP5_E	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	120.0	NA	NA	NA	25.2	NA	21.0	nmol/l	NA
Macha2015a	all	16.0	EMP5_E	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	2.0	NA	1.0	4.0	NA	NA	NA	hr	NA
Macha2015a	all	16.0	EMP5_E	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	14.0	NA	NA	NA	7.756	NA	55.4	hr	NA
Macha2015a	all	16.0	EMP10	auc_end	empagliflozin	plasma	HPLC MS/MS	12.0	hr	1900.0	NA	NA	NA	391.4	NA	20.6	nmol/l*hr	steady state
Macha2015a	all	16.0	EMP10	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	330.0	NA	NA	NA	83.49	NA	25.3	nmol/l	NA
Macha2015a	all	16.0	EMP10	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1.0	NA	0.7	2.0	NA	NA	NA	hr	NA
Macha2015a	all	16.0	EMP10	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	13.6	NA	NA	NA	5.848	NA	43.0	hr	NA
