study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Sarashina2013	EMP1	6.0	EMP1	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP1	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	EMP1	6.0	EMP1	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP1	72.0	hr	23.3	NA	NA	NA	3.029	NA	13.0	percent	NA
Sarashina2013	EMP5	6.0	EMP5	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP5	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	EMP5	6.0	EMP5	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP5	72.0	hr	22.4	NA	NA	NA	2.23328	NA	9.97	percent	NA
Sarashina2013	EMP10	6.0	EMP10	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP10	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	EMP10	6.0	EMP10	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP10	72.0	hr	21.3	NA	NA	NA	3.1311	NA	14.7	percent	NA
Sarashina2013	EMP25	6.0	EMP25	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP25	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	EMP25	6.0	EMP25	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP25	72.0	hr	22.9	NA	NA	NA	3.8243	NA	16.7	percent	NA
Sarashina2013	EMP100	6.0	EMP100	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	EMP100	6.0	EMP100	recovery	empagliflozin	urine	HPLC MS/MS	recovery_EMP100	72.0	hr	22.9	NA	NA	NA	4.0533	NA	17.7	percent	NA
Sarashina2013	OGTT10	6.0	OGTT10	recovery	empagliflozin	urine	HPLC MS/MS	recovery_OGTT10	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Sarashina2013	OGTT10	6.0	OGTT10	recovery	empagliflozin	urine	HPLC MS/MS	recovery_OGTT10	72.0	hr	29.4	NA	NA	NA	1.31712	NA	4.48	percent	NA
Sarashina2013	EMP1	6.0	EMP1	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP1	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	EMP1	6.0	EMP1	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP1	72.0	hr	0.233	NA	NA	NA	0.03029	NA	13.0	mg	NA
Sarashina2013	EMP5	6.0	EMP5	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP5	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	EMP5	6.0	EMP5	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP5	72.0	hr	1.12	NA	NA	NA	0.1456	NA	13.0	mg	NA
Sarashina2013	EMP10	6.0	EMP10	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP10	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	EMP10	6.0	EMP10	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP10	72.0	hr	2.13	NA	NA	NA	0.2769	NA	13.0	mg	NA
Sarashina2013	EMP25	6.0	EMP25	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP25	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	EMP25	6.0	EMP25	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP25	72.0	hr	5.725	NA	NA	NA	0.74425	NA	13.0	mg	NA
Sarashina2013	EMP100	6.0	EMP100	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP100	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	EMP100	6.0	EMP100	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_EMP100	72.0	hr	22.9	NA	NA	NA	2.977	NA	13.0	mg	NA
Sarashina2013	OGTT10	6.0	OGTT10	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_OGTT10	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	mg	NA
Sarashina2013	OGTT10	6.0	OGTT10	cumulative amount	empagliflozin	urine	HPLC MS/MS	empagliflozin_urine_OGTT10	72.0	hr	2.94	NA	NA	NA	0.3822	NA	13.0	mg	NA
