study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Zhao2015	all	24.0	NA	species	24.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	healthy 	24.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	ethnicity	24.0	NA	chinese	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	sex	14.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	sex	10.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	age	24.0	NA	NA	NA	53.5	NA	NA	32.0	68.0	yr	NA
Zhao2015	all	24.0	NA	bmi	24.0	NA	NA	NA	25.5	NA	NA	19.2	32.4	kg/m^2	NA
Zhao2015	all	24.0	NA	weight	24.0	NA	NA	NA	68.0	NA	NA	50.0	86.0	kg	NA
Zhao2015	all	24.0	NA	disease	24.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	all	24.0	NA	hba1c	24.0	glucose	NA	7.67	NA	0.58	NA	NA	NA	percent	NA
Zhao2015	all	24.0	NA	concentration	24.0	glucose	NA	159.75	NA	25.52	NA	NA	NA	mg/dl	FPG
Zhao2015	all	24.0	NA	clearance	24.0	glucose	NA	NA	NA	NA	NA	80.0	NA	ml/min/(1.73*m^2)	NA
Zhao2015	all	24.0	NA	concentration	24.0	glucose	NA	NA	NA	NA	NA	NA	240.0	mg/dl	NA
Zhao2015	EMP10	9.0	all	sex	7.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	EMP10	9.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	EMP10	9.0	all	age	9.0	NA	NA	NA	26.5	NA	NA	44.0	68.0	yr	NA
Zhao2015	EMP10	9.0	all	bmi	9.0	NA	NA	NA	74.0	NA	NA	19.2	30.5	kg/m^2	NA
Zhao2015	EMP10	9.0	all	weight	9.0	NA	NA	NA	74.0	NA	NA	51.0	85.0	kg	NA
Zhao2015	EMP10	9.0	all	hba1c	9.0	glucose	NA	7.39	NA	0.51	NA	NA	NA	percent	NA
Zhao2015	EMP10	9.0	all	concentration	9.0	glucose	NA	166.67	NA	28.11	NA	NA	NA	mg/dl	FPG
Zhao2015	EMP25	9.0	all	sex	3.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	EMP25	9.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	EMP25	9.0	all	age	9.0	NA	NA	NA	56.0	NA	NA	32.0	64.0	yr	NA
Zhao2015	EMP25	9.0	all	bmi	9.0	NA	NA	NA	24.7	NA	NA	20.8	26.5	kg/m^2	NA
Zhao2015	EMP25	9.0	all	weight	9.0	NA	NA	NA	67.0	NA	NA	50.0	71.0	kg	NA
Zhao2015	EMP25	9.0	all	hba1c	9.0	glucose	NA	7.91	NA	0.52	NA	NA	NA	percent	NA
Zhao2015	EMP25	9.0	all	concentration	9.0	glucose	NA	160.56	NA	24.81	NA	NA	NA	mg/dl	FPG
Zhao2015	Placebo	6.0	all	sex	4.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	Placebo	6.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Zhao2015	Placebo	6.0	all	age	6.0	NA	NA	NA	51.0	NA	NA	43.0	65.0	yr	NA
Zhao2015	Placebo	6.0	all	bmi	6.0	NA	NA	NA	25.5	NA	NA	21.5	32.4	kg/m^2	NA
Zhao2015	Placebo	6.0	all	weight	6.0	NA	NA	NA	72.0	NA	NA	60.0	86.0	kg	NA
Zhao2015	Placebo	6.0	all	hba1c	6.0	glucose	NA	7.72	NA	0.67	NA	NA	NA	percent	NA
Zhao2015	Placebo	6.0	all	concentration	6.0	glucose	NA	148.17	NA	22.34	NA	NA	NA	mg/dl	FPG
