study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Heise2013	NA	Placebo	12.0	Placebo	cumulative amount	glucose	urine	LC MS/MS	uge_Placebo	1.0	day	NA	5.21739130434783	10.4406779661017	5.22328666175387	3.01396411712551	g	NA
Heise2013	NA	Placebo	12.0	Placebo	cumulative amount	glucose	urine	LC MS/MS	uge_Placebo	8.0	day	NA	0.869565217391327	6.64406779661016	5.77450257921883	1.9179771654435	g	NA
Heise2013	NA	Placebo	12.0	Placebo	cumulative amount	glucose	urine	LC MS/MS	uge_Placebo	9.0	day	NA	2.60869565217392	8.54237288135592	5.933677229182	2.4659706412845	g	NA
Heise2013	NA	EMP2.5	9.0	EMP2.5	cumulative amount	glucose	urine	LC MS/MS	uge_EMP2.5	1.0	day	NA	46.5084745762711	68.8135593220338	22.3050847457627	22.9378531073446	g	NA
Heise2013	NA	EMP2.5	9.0	EMP2.5	cumulative amount	glucose	urine	LC MS/MS	uge_EMP2.5	8.0	day	NA	39.864406779661	65.0169491525423	25.1525423728813	21.6723163841808	g	NA
Heise2013	NA	EMP2.5	9.0	EMP2.5	cumulative amount	glucose	urine	LC MS/MS	uge_EMP2.5	9.0	day	NA	37.9661016949152	63.1186440677965	25.1525423728813	21.0395480225988	g	NA
Heise2013	NA	EMP10	9.0	EMP10	cumulative amount	glucose	urine	LC MS/MS	uge_EMP10	1.0	day	NA	89.6949152542372	108.203389830508	18.5084745762708	36.0677966101693	g	NA
Heise2013	NA	EMP10	9.0	EMP10	cumulative amount	glucose	urine	LC MS/MS	uge_EMP10	8.0	day	NA	84.4745762711864	138.57627118644	54.1016949152536	46.19209039548	g	NA
Heise2013	NA	EMP10	9.0	EMP10	cumulative amount	glucose	urine	LC MS/MS	uge_EMP10	9.0	day	NA	68.8135593220338	99.6610169491525	30.8474576271187	33.2203389830508	g	NA
Heise2013	NA	EMP25	9.0	EMP25	cumulative amount	glucose	urine	LC MS/MS	uge_EMP25	1.0	day	NA	78.3050847457626	103.93220338983	25.6271186440674	34.64406779661	g	NA
Heise2013	NA	EMP25	9.0	EMP25	cumulative amount	glucose	urine	LC MS/MS	uge_EMP25	8.0	day	NA	75.457627118644	112.949152542372	37.491525423728	37.649717514124	g	NA
Heise2013	NA	EMP25	9.0	EMP25	cumulative amount	glucose	urine	LC MS/MS	uge_EMP25	9.0	day	NA	72.6101694915254	96.8135593220339	24.2033898305085	32.271186440678	g	NA
Heise2013	NA	EMP100	9.0	EMP100	cumulative amount	glucose	urine	LC MS/MS	uge_EMP100	1.0	day	NA	89.6949152542372	120.542372881355	30.8474576271178	40.1807909604517	g	NA
Heise2013	NA	EMP100	9.0	EMP100	cumulative amount	glucose	urine	LC MS/MS	uge_EMP100	8.0	day	NA	93.9661016949152	120.067796610169	26.1016949152538	40.0225988700563	g	NA
Heise2013	NA	EMP100	9.0	EMP100	cumulative amount	glucose	urine	LC MS/MS	uge_EMP100	9.0	day	NA	89.6949152542372	115.796610169491	26.1016949152538	38.598870056497	g	NA
