study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	4.0	hr	NA	2.82161812455255	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	12.0	hr	NA	12.1515503663727	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	24.0	hr	NA	14.3277824761649	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	36.0	hr	NA	15.7296933339011	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	48.0	hr	NA	16.0162611519093	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	72.0	hr	NA	16.6206292323511	NA	NA	NA	percent	NA
Macha2014b	NA	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_normal	96.0	hr	NA	16.6	NA	4.399	NA	percent	SD from Tab2
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	4.0	hr	NA	4.12273336618824	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	8.0	hr	NA	8.64834498465757	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	12.0	hr	NA	10.509717549186	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	24.0	hr	NA	12.778835759932	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	36.0	hr	NA	14.1186873449785	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	48.0	hr	NA	14.6844204860498	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	72.0	hr	NA	15.1024586423621	NA	NA	NA	percent	NA
Macha2014b	NA	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_mild	96.0	hr	NA	15.2	NA	3.1312	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	4.0	hr	NA	4.15361089647256	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	8.0	hr	NA	8.18361026776751	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	12.0	hr	NA	11.0362580286648	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	24.0	hr	NA	14.0800017035878	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	36.0	hr	NA	15.3580475260456	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	48.0	hr	NA	16.0162104498891	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	72.0	hr	NA	16.5587727677421	NA	NA	NA	percent	NA
Macha2014b	NA	moderate	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_moderate	96.0	hr	NA	16.7	NA	5.845	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	4.0	hr	NA	4.74215994662091	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	8.0	hr	NA	9.05066551471677	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	12.0	hr	NA	12.4610861995185	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	24.0	hr	NA	16.9299622574161	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	36.0	hr	NA	18.9204728673209	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	48.0	hr	NA	19.6718261042392	NA	NA	NA	percent	NA
Macha2014b	NA	severe	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	recovery_severe	72.0	hr	NA	20.3997550078385	NA	NA	NA	percent	NA
