study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	0.33	hr	NA	30.78176	43.97394	13.19218	3.298045	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	0.67	hr	NA	112.86247	156.832	43.96953	10.9923825	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	1.0	hr	NA	191.99166	224.247	32.25534	8.063835	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	1.5	hr	NA	205.191	318.0622	112.8712	28.2178	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	2.0	hr	NA	234.515	351.77	117.255	29.31375	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	2.5	hr	NA	240.347	266.723	26.376	6.594	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	3.0	hr	NA	310.693	405.97	95.2770000000001	23.81925	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	4.0	hr	NA	266.70355	332.65649	65.95294	16.488235	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	6.0	hr	NA	171.39083	190.43823	19.0474	4.76185	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	8.0	hr	NA	133.23626	153.75345	20.51719	5.1292975	ng/ml	unclear if SD or SE
Brand2012	NA	all	16.0	SIT100_D5	concentration	sitagliptin	plasma	HPLC MS/MS	sitagliptin_SIT100_D5	10.0	hr	NA	99.47909	118.5265	19.04741	4.7618525	ng/ml	unclear if SD or SE
